user_id,n_days,n_points,points_day,meandist_km,mediandist_km,mindist_km,maxdist_km,meandist_weekday_km,mediandist_weekday_km,meandist_weekend_km,mediandist_weekend_km
ede8aa3a-39e1-c9d9-afa1-1a44f36a111f,52,4172,80.23076923,1004.23,155.64,0,11526.43,1075.5,240.1,828.52,57.02
82668174-16cd-1095-aa13-d06591f7af1f,14,1128,80.57142857,76.363,49.579,4.519,296.079,68.481,37.016,96.07,93.86
faad39bf-427c-b9bf-f725-b008995708e2,13,1156,88.92307692,32.34346,28.29052,0.00202,63.71086,30.18137,27.56215,39.55,29.17
d0684473-a44c-f08b-9c3b-ff2c15cebe5a,22,1992,90.54545455,197.262,178.612,0.075,488.341,184.583,167.712,224.431,224.582
1f8f4ab9-77c7-25a7-ac08-378ef94c02ab,59,5898,99.96610169,477.7324,37.304,0.1533,1346.4741,79.489,35.8708,241.6878,53.6086
a3b8b000-ec2e-a151-9760-7801478bbfac,9,940,104.4444444,45.35,30.313,0.157,155.315,55.93,46.13,8.308,8.308
b4c73776-8dbf-20a2-67c6-58ada7ec1abe,10,1046,104.6,255.7404,290.3428,0.2768,579.7254,216.8636,185.0377,314.056,33.521
f77348a5-543f-06e5-8cd9-3b09b98066ca,8,848,106,85.5533,26.9014,0.2192,269.0724,109.4879,81.2198,13.7496,13.7596
5676109d-c5d2-ef50-d97a-bb08979fecf9,12,1278,106.5,280.1176,232.1723,0.1722,635.884,304.1907,277.798,231.97,141.91
f2bd5111-97a9-e1fc-e4c7-7ed768a9ca36,37,4146,112.0540541,104.0647,41.1619,0.0011,680.4759,89.123,48.612,144.4066,25.35
c7bfd51f-2fd1-6ed7-dea7-a56c5ea69f59,43,4840,112.5581395,132.29,32.77,0,2315.86,124.71,26.68,149.77,71.82
0cf7c482-8abd-40c9-17ab-6487c24b2982,8,932,116.5,132.64,128.74,10.38,243.11,169.61,233.21,71.03,73.18
680679ae-7c20-49cd-5a43-d79e388d7812,42,4986,118.7142857,753.558,190.862,0.742,8995.296,527.246,190.862,1319.337,178.434
40266ff4-6528-91a5-efba-433e712559a4,53,6312,119.0943396,43.7987,1.6269,0.0106,545.32,33.56,3.74,67.48,1.37
576f537b-15d7-a564-e22f-5fc654557953,44,5432,123.4545455,809.141,224.948,0,17216.451,393.595,348.353,1612.725,62.765
cd5f65f7-a421-adeb-5096-2d1eede1450c ,40,5080,127,7589.35,0.7,0.01,142175.93,10225.13,0.7,1439.182,0.598
7ec8a23b-8be7-a52d-c275-8c98cbbb248d,9,1158,128.6666667,21.21,15.89,0.00736,99.69066,23.813,18.6452,0.4082,0.4082
3a50a85c-b532-d0b1-3b7d-cbeeb5c8b60b,8,1038,129.75,54.82,52.69,16.48,101.69,51.52,38.5,60.31,68.71
36346f78-48d8-2e4f-5c2c-1e37520109cb,19,2468,129.8947368,664.271,214.842,0.277,3539.272,726.298,214.842,431.7,390.5
e47353ed-78eb-94cb-e868-4a43d5dc8e2f,30,3936,131.2,3.27,0.807,0.00754,31.95,4.2963,0.97576,0.47873,0.35269
5bc52480-3047-d011-3f52-2375b3ae26fd,28,3700,132.1428571,195.231,82.135,6.539,1371.507,145.182,89.502,320.35,78.74
7f9c0ab8-2727-4e9c-fe08-963f8d438b70,11,1458,132.5454545,44.075,56.164,0.333,83.033,47.79,57.828,6.918,6.918
457482ab-d5b6-0b54-bcb6-9860c7710a77,9,1218,135.3333333,233.34,121.52,0,731.61,265.96,121.52,119.2,119.2
a556b3af-36e7-b78e-92f0-194d9f644470,12,1720,143.3333333,2323.19,464.75,20.07,9864.89,2578.35,372.21,1812.9,851.4
c8e3d5cc-895b-cdf9-daca-e069b33ef631,37,5396,145.8378378,182.943343,93.3408,0.0868,2305.5129,198.854,99.22,139.9855,76.3131
8c4b577a-aec3-e96a-778a-c25915aa792e,12,1766,147.1666667,182.5,27.94,0.0045,932.74,126.51,25.47,350.46,116.98
3c3c0007-72c8-f748-9902-ee013d3073c6,35,5162,147.4857143,81.139,78.851,3.855,223.429,85.62,78.93,65.99,64.07
13b95eda-1ac9-42eb-5277-710b3887a5e3,47,7142,151.9574468,130.67,77.758,1.874,1039.962,145.06,78.83,88.688,36.856
c192c446-afb4-89c5-0833-8c4af84ace43,16,2448,153,2058.905171,62.649,1.283,21384.39,246.799,18.54,3871.011,552.241
40ed7d51-3d11-fd0f-134c-43f06b71bb53,9,1398,155.3333333,48.3648,3.4625,0.011,209.5158,37.315,2.8035,70.4645,24.5383
d9315efa-9486-9898-f44e-95f1804de979,17,2642,155.4117647,304.0106,191.2005,0.0014,1399.6545,376.626,273.357,68.01,40.1918
341376d8-763d-323e-a1f4-8e9511795d80,32,4974,155.4375,723.4,211.8,0,5699.5,762.6,471.7,637.02,152.03
fdd4725f-995a-1c8b-edb3-ad731123eb81,48,7524,156.75,426.88,332.42,14.72,1522.11,379.95,217.31,540.9,398.6
fdb4d3fb-4e13-4fea-75e6-ae3379dea001,30,4798,159.9333333,101.65,22.62,0.02,1069.19,75.72,16.69,172.96,66.82
975c1b63-2b30-842a-afa1-30f6a5cf13e0,18,2946,163.6666667,122.408,98.84,5.872,513.616,69.465,57.987,307.7,298.7
