ID,user_id,prop_0,prop_11,prop_21,prop_22,prop_23,prop_24,prop_31,prop_41,prop_42,prop_43,prop_52,prop_71,prop_81,prop_82,prop_90,prop_95,prop_TOTAL
40,fdb4d3fb-4e13-4fea-75e6-ae3379dea001,,,47.54,22.33,20.81,2.96,,,,6.07,,,0.06,0.23,,,100
41,975c1b63-2b30-842a-afa1-30f6a5cf13e0,,,6.9,2.33,1.5,6.62,,17.7,,1.95,0.71,0.31,60.13,1.1,0.42,0.32,99.99
42,256f12e1-597c-5593-4e49-4be97702fb7e,,,2.15,25.09,19.13,16.89,0.13,0.13,,,,0.08,35.67,0.62,,0.12,100.01
43,e3f28984-388a-2129-45a1-10003df46902,,,5.77,5.34,3.35,4.76,0.43,15.03,4.61,45.53,0.03,0.39,0.12,6.16,8.29,0.02,99.83
44,02fb5eca-ed6f-a997-7b82-649948dbed5a,,4.34,1.45,33.58,1.5,12.47,0.25,44.26,,,,0.05,0.6,0.84,0.62,0.05,100.01
45,fc5f8a39-4e28-1c4e-8732-e43ed486ecb3,,0.06,2.49,7.3,6.16,28.18,0.07,52.18,,0.93,0.35,,,0.8,1.49,,100.01
46,15e7df2b-fc10-3dc9-08ad-c9856a7a40ef,,1.15,7.19,3.29,2.37,1.78,0.16,9.44,0.11,19.42,,0.29,43.74,3.83,6.97,0.27,100.01
47,0efef17a-07a3-c194-216b-1531127c62e5,,0.42,1.88,12.6,49.94,10.89,0.12,0.58,,0.03,,0.04,0.53,20.78,0.22,1.98,100.01
48,46fd53c2-a8e2-8b43-30f8-0ed6f210c713,,0.25,4.77,18.47,15.73,10.92,0.24,32.89,0.12,0.62,0.08,0.13,13.89,1.36,0.38,0.15,100
49,6197bcb1-4e65-da99-b600-609785a191b5,,0.44,4.01,10.65,12.14,13.66,0.04,50,0.12,0.34,0.02,0.19,1.15,6.58,0.54,0.11,99.99
50,a86d705b-8242-2f59-719a-5784631586ea,,0.39,3.55,50.27,18.42,23.69,0.03,1.92,,0.11,0.03,0.05,0.32,0.81,0.31,0.1,100
51,68574d17-8465-5969-13e9-db314c7a09ce,,0.04,1.23,84.51,7.35,4.74,0.06,0.11,,0.03,,,1.2,0.37,0.36,,100
52,8ab956f7-2ca7-6085-856d-cf2c59cf83a0,,0.11,7.05,75.13,7.83,3.88,0.19,3.12,0.15,0.24,0.02,0.02,0.58,0.59,0.92,0.11,99.94
53,91f7d63f-376b-8514-3477-677ec6e09560,,,1.19,80.51,6.13,6.78,,2.23,,0.04,,0.05,0.26,2.34,0.41,0.04,99.98
54,704997fa-0ebb-407b-7afe-b5245d583b46,,0.21,1.23,14.78,76.66,0.98,,1.72,,,,0.13,1.06,2.66,0.49,0.08,100
55,d45d7e2f-1053-9826-9fac-f3f07733cca7,,2.51,9.85,52.39,11,6.04,,6.32,1.4,2.45,0.08,0.16,0.75,2.52,4.23,0.29,99.99
56,f93dd6bc-1d7a-f95b-2a4b-283e79ad90b8,,,31.96,34.29,10.1,22.02,0.04,,,,,,0.22,1.36,,,99.99
57,df828401-3b82-21b0-e2dc-f50c8217e78b,,0.02,13.57,38.72,35.33,5.46,0.47,6.35,,,,,,0.07,0.02,,100.01
58,87fa27a7-4ac6-19fe-d64e-139b2341fbba,,0.14,5.21,3.66,8.88,10.64,0.04,58.93,1.73,0.21,,3.34,7.16,0.02,0.05,,100.01
59,04799a7c-e2c5-fb43-5db4-ca426eeedac2,,0.11,0.8,68.62,9.37,20.71,,,,,,,0.13,0.11,0.12,0.04,100.01
60,dc3bd2ee-704c-c0ae-6f56-cc5f5a0bfd8c,,0.09,7.39,34.6,38.22,7.02,1.58,0.23,,0.18,,0.66,3.57,5.9,0.11,0.46,100.01
61,f0ca01dd-ab4a-7aca-78ee-d3dcecc7919d,,2.07,16.13,26.85,3.12,5.63,,3.42,0.15,1.9,0.19,0.21,20.9,10.1,8.73,0.59,99.99
62,f4b5e6fa-a046-c70f-ce81-7d03d146672d,,,1.08,80.44,9.89,4,0,,,,,,0.03,1.2,3.34,,99.98
63,f9f4e042-ef17-d565-e6d6-de33dd849b65,,0.11,0.48,89.93,3.12,2.75,,0.82,,0.09,,0.3,1.52,0.34,0.36,0.19,100.01
64,6cbb1d9a-a4bd-626e-8cb0-00ab58e5929a,,,2.28,48.86,18.87,26.13,,0.78,,,,,0.77,2.31,,,100
65,f2b684e2-8139-f0b6-dcf8-e0bcd6d38afb,,1,33.43,4.87,7.23,3.9,,5.04,0.12,30.9,2.45,0.45,0.06,1.78,5.82,2.85,99.9
66,e047df51-6928-4afb-5507-a823b7963bd6,,0.04,1.09,1.02,1.12,0.37,0.04,14.65,0.59,0.77,75.42,,1.94,2.45,0.36,0.1,99.96
67,45db6bb3-da04-fcfb-b476-1c13725d943f,,2.55,5.79,48.74,6.23,20.54,0.03,1.24,0.4,8.98,,0.48,3.2,1.49,0.09,0.14,99.9
68,3b63218a-e60c-8eca-3012-9b0cd52e7e77,,0.25,4.64,17.08,34.8,36.07,,2.47,,0.02,0.24,,0.81,3.48,0.16,,100.02
69,c4d0a28d-b586-d114-e052-2e7418542a2e,,,6.24,40.97,29.06,16.07,,1.45,,0.09,,,0.59,0.56,3.29,1.68,100
70,81cf7946-8172-53de-8944-74dd7c2c661d,,0.15,1.65,4.17,1.14,1.54,,87.14,,0.06,0.03,,0.36,1.09,1.76,0.91,100
71,d8458927-6180-0e2d-75bf-a5149720d63f,,0.04,3.09,0.9,0.92,0.44,,92.32,,0.04,,,1.84,0.4,,,99.99
72,3e3c4324-24d8-fd6b-2e3a-f70304c711a1,,1.5,2.54,5.18,54.69,0.33,,0.18,0.62,,,,34,0.76,0.21,,100.01
73,715166da-8ecd-f4ec-256f-963a152f34c1,,3.28,8.38,3.12,2.26,0.86,0.27,61.92,,12.25,,,0.14,1.04,6.49,,100.01
74,9b2d0f15-25ef-7d89-1035-f9233bf207e3,,0.01,1,82.41,8.19,8.24,,0.02,,0.01,,0.02,0.01,0.07,0.02,,100
75,90326b30-9519-bbe6-2cf8-eb216f028b97,,0.01,0.76,6.33,73.5,13.98,,3.79,,0.11,,,0.07,1.33,0.13,,100.01
76,8e96d997-d2f7-ad09-7f66-eb4f99ad7238,,,0.56,12.07,17.85,8.35,0.07,58.51,,,,,0.99,0.39,1.14,0.08,100.01
77,802d4c44-14fb-b76e-14fa-96446811ea49,,0.53,2.14,39.79,53.01,0.97,,0.03,,,3.12,,,0.03,,0.37,99.99
78,a76385aa-41d1-8ebe-d093-b3e720eea026,,0.17,8.4,77.48,5.92,8.04,,,,,,,,,,,100.01
79,0114d590-46a7-22ac-cb02-665ed75963f9,,,0.25,40.43,57.72,0.52,0.02,0.13,0.1,,0.04,0.11,0.21,0.28,0.2,,100.01
80,aeafb325-fcee-711c-810f-710c0ca9f13d,,0.06,0.88,57.37,15.36,24.58,0.16,,,,,,1.33,0.25,,,99.99
81,8230bd93-5ab5-3788-fba3-d944e49e56f3,,49.23,0.9,32.82,8.24,4,,,,,,,1.79,3.03,,,100.01
82,5c7f6a08-66a1-aaae-8b28-dea95628df74,,0.04,0.27,4.3,81.26,13.27,,,,0.05,,,0.11,0.68,,0.04,100.02
83,55d715cd-a73b-9a58-dce1-881c1ac33cb5,,0.36,4.39,12.61,27.76,40.09,0.27,5.05,1.4,0.6,0.37,1.36,0.63,3.87,0.93,0.31,100
84,7ad375c6-693f-6d63-8b6f-c9ced44444f7,,1.74,8.42,11.79,45.22,9.07,1.04,1.03,0.22,1.8,0.11,0.65,3.24,4.84,10.41,0.45,100.03
85,e2ebf967-bfa1-0df8-0ef8-8d6c4034527d,,0.03,6.03,70.5,10.71,6.62,,2.9,0.08,0.22,,0.43,0.69,0.62,1.03,0.12,99.98
86,091ae7fb-7097-cd56-0576-f48b684834c5,,76.51,3.06,6.5,2.27,5.28,,0.25,2.94,0.5,0.06,0.11,0.03,2.35,0.04,0.11,100.01
87,7e5bf369-2272-5569-f100-ee15786b86e8,,0.18,0.61,4.05,4.18,4.92,,1,0.02,0.06,,,78.88,1.13,0.81,4.16,100
88,ea641ea2-133f-527f-bffe-aa56784ea0bf,,0.13,33.37,14.82,27.22,5.18,,0.51,0.41,4.88,,,1.02,0.13,,12.24,99.91
